
1610290086344,ribcage,1791,1610290085944,
1610290086344,ribcage,1793,1610290086044,
1610290086344,ribcage,1793,1610290086144,
1610290086344,ribcage,1787,1610290086244,
1610290086344,ribcage,1790,1610290086344,
1610290086803,abdomen,1746,1610290086203,
1610290086803,abdomen,1740,1610290086303,
1610290086803,abdomen,1740,1610290086403,
1610290086803,abdomen,1739,1610290086503,
1610290086803,abdomen,1735,1610290086603,
1610290086803,abdomen,1735,1610290086703,
1610290086803,abdomen,1729,1610290086803,
1610290087041,ribcage,1786,1610290086441,
1610290087041,ribcage,1788,1610290086541,
1610290087041,ribcage,1782,1610290086641,
1610290087041,ribcage,1790,1610290086741,
1610290087041,ribcage,1789,1610290086841,
1610290087041,ribcage,1789,1610290086941,
1610290087041,ribcage,1800,1610290087041,
1610290087333,rr,881,
1610290087333,heartrate,64,
1610290087500,abdomen,1741,1610290086900,
1610290087500,abdomen,1750,1610290087000,
1610290087500,abdomen,1757,1610290087100,
1610290087500,abdomen,1768,1610290087200,
1610290087500,abdomen,1772,1610290087300,
1610290087500,abdomen,1775,1610290087400,
1610290087500,abdomen,1776,1610290087500,
1610290087745,ribcage,1797,1610290087145,
1610290087745,ribcage,1803,1610290087245,
1610290087745,ribcage,1807,1610290087345,
1610290087745,ribcage,1811,1610290087445,
1610290087745,ribcage,1819,1610290087545,
1610290087745,ribcage,1821,1610290087645,
1610290087745,ribcage,1822,1610290087745,
1610290088204,abdomen,1795,1610290087604,
1610290088204,abdomen,1806,1610290087704,
1610290088204,abdomen,1799,1610290087804,
1610290088204,abdomen,1806,1610290087904,
1610290088204,abdomen,1791,1610290088004,
1610290088204,abdomen,1790,1610290088104,
1610290088204,abdomen,1779,1610290088204,
1610290088335,rr,1371,
1610290088335,heartrate,64,
1610290088445,ribcage,1820,1610290087845,
1610290088445,ribcage,1819,1610290087945,
1610290088445,ribcage,1817,1610290088045,
1610290088445,ribcage,1811,1610290088145,
1610290088445,ribcage,1818,1610290088245,
1610290088445,ribcage,1814,1610290088345,
1610290088445,ribcage,1810,1610290088445,
1610290088904,abdomen,1777,1610290088304,
1610290088904,abdomen,1776,1610290088404,
1610290088904,abdomen,1768,1610290088504,
1610290088904,abdomen,1763,1610290088604,
1610290088904,abdomen,1753,1610290088704,
1610290088904,abdomen,1751,1610290088804,
1610290088904,abdomen,1749,1610290088904,
1610290089144,ribcage,1799,1610290088544,
1610290089144,ribcage,1806,1610290088644,
1610290089144,ribcage,1800,1610290088744,
1610290089144,ribcage,1795,1610290088844,
1610290089144,ribcage,1797,1610290088944,
1610290089144,ribcage,1795,1610290089044,
1610290089144,ribcage,1794,1610290089144,
1610290089328,rr,1226,
1610290089328,heartrate,64,
1610290089604,abdomen,1742,1610290089004,
1610290089604,abdomen,1749,1610290089104,
1610290089604,abdomen,1740,1610290089204,
1610290089604,abdomen,1743,1610290089304,
1610290089604,abdomen,1742,1610290089404,
1610290089604,abdomen,1749,1610290089504,
1610290089604,abdomen,1759,1610290089604,
1610290089833,ribcage,1791,1610290089233,
1610290089833,ribcage,1794,1610290089333,
1610290089833,ribcage,1792,1610290089433,
1610290089833,ribcage,1798,1610290089533,
1610290089833,ribcage,1803,1610290089633,
1610290089833,ribcage,1803,1610290089733,
1610290089833,ribcage,1811,1610290089833,
1610290090304,abdomen,1759,1610290089704,
1610290090304,abdomen,1776,1610290089804,
1610290090304,abdomen,1775,1610290089904,
1610290090304,abdomen,1782,1610290090004,
1610290090304,abdomen,1784,1610290090104,
1610290090304,abdomen,1796,1610290090204,
1610290090304,abdomen,1803,1610290090304,
1610290090389,heartrate,64,
1610290090537,ribcage,1811,1610290089937,
1610290090537,ribcage,1818,1610290090037,
1610290090537,ribcage,1824,1610290090137,
1610290090537,ribcage,1827,1610290090237,
1610290090537,ribcage,1831,1610290090337,
1610290090537,ribcage,1822,1610290090437,
1610290090537,ribcage,1827,1610290090537,
1610290091000,abdomen,1794,1610290090400,
1610290091000,abdomen,1793,1610290090500,
1610290091000,abdomen,1783,1610290090600,
1610290091000,abdomen,1780,1610290090700,
1610290091000,abdomen,1776,1610290090800,
1610290091000,abdomen,1770,1610290090900,
1610290091000,abdomen,1769,1610290091000,
1610290091233,ribcage,1820,1610290090633,
1610290091233,ribcage,1813,1610290090733,
1610290091233,ribcage,1820,1610290090833,
1610290091233,ribcage,1811,1610290090933,
1610290091233,ribcage,1811,1610290091033,
1610290091233,ribcage,1802,1610290091133,
1610290091233,ribcage,1805,1610290091233,
